time	NK.EXE	filesys.exe	device.exe	cprog.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	poutlook.exe	tmarshaller.exe	IQueue.exe	AEBPlus.exe	DataServer.exe	SSClient.exe	memuse.exe	ENCommLoader.exe	SureLockClient.exe	wceload.exe	KioskCenter.exe	SSTransferAgent.exe	SpeedyMOBILE.exe	uptimesqm.exe	total
3/16/2015 12:45:02 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7041024		32952320
3/16/2015 12:45:12 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7041024		32952320
3/16/2015 12:45:22 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7041024		32952320
3/16/2015 12:45:32 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:45:42 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:45:52 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:46:02 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:46:12 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:46:22 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:46:32 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
3/16/2015 12:46:42 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8626176		34537472
