time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	IQueue.exe	SSClient.exe	RBLogger.exe	RBTimeStamp.exe	SSTransferAgent.exe	memuse.exe	ssLaunch.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	Dw.exe	autorun.exe	RemoteViewer.exe	fexplore.exe	total
20.03.2015 14:06:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:07:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:07:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:07:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:07:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:07:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:07:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:08:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:08:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:08:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:08:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:08:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:08:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:09:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:09:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:09:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:09:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:09:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:09:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:10:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:10:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:10:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:10:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:10:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:10:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:11:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:11:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:11:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:11:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:11:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:11:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:12:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:12:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:12:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:12:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:12:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
