time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	calupd.exe	SSClient.exe	RBTimeStamp.exe	IQueue.exe	RBLogger.exe	SSTransferAgent.exe	memuse.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	repllog.exe	Dw.exe	ssLaunch.exe	MobileCalculator.exe	calnot.exe	Tskschedule.exe	total
20.03.2015 13:01:20	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:01:30	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:01:40	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:01:50	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:02:00	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:02:10	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:02:20	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:02:30	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:02:40	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:02:50	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:03:00	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:03:10	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:03:20	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:03:30	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:03:40	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31023104
20.03.2015 13:03:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31027200
20.03.2015 13:04:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	4268032	561152			1294336			31027200
20.03.2015 13:04:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	4558848	561152			1294336			31318016
20.03.2015 13:04:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5513216	561152			1294336			32272384
20.03.2015 13:04:30	0	0	9302016		86016	3825664	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5574656	561152			1294336			32473088
20.03.2015 13:04:40	0	0	9302016		86016	3825664	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5562368	561152			1294336			32460800
20.03.2015 13:04:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5591040	561152			1294336			32350208
20.03.2015 13:05:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5591040	561152			1294336			32350208
20.03.2015 13:05:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5591040	561152			1294336			32350208
20.03.2015 13:05:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5591040	561152			1294336			32350208
20.03.2015 13:05:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5591040	561152			1294336			32350208
20.03.2015 13:05:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5591040	561152			1294336			32350208
20.03.2015 13:05:50	0	0	9302016		86016	3854336	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5541888	561152			1294336			32468992
20.03.2015 13:06:00	0	0	9302016		86016	3854336	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5521408	561152			1294336			32448512
20.03.2015 13:06:10	0	0	9302016		86016	3825664	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5541888	561152			1294336			32440320
20.03.2015 13:06:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5541888	561152			1294336			32301056
